original,connected,weight
0,1,96.54014708917737
0,4,147.0136048126159
0,6,174.6453549339346
0,16,264.48629454094595
0,18,158.64425612041552
0,24,212.98356744124652
0,46,101.95096860746347
0,48,197.00253805471644
0,54,99.62429422585637
0,63,327.70260908329675
0,67,215.17667159801502
0,70,280.0
0,71,112.96902230257638
0,72,177.67385851610248
1,6,88.14193099768123
1,16,169.10647533432893
1,17,54.57105459856901
1,19,113.95174417269794
1,24,309.48020938341114
1,29,122.01639234135715
1,46,189.59430371189953
1,54,195.88006534611938
1,63,231.8641843838759
1,64,189.40168953839878
1,70,187.29655629509048
1,72,90.9065454189081
2,7,114.35471131527551
2,8,360.6494142515692
2,12,99.62429422585637
2,24,64.51356446515724
2,33,58.89821729050889
2,46,193.7679023987203
2,49,119.20570456148481
2,67,206.90335908341362
3,8,410.7578362003578
3,9,289.70502239346837
3,12,465.7520799738848
3,20,114.16216536138407
3,24,332.7100840070827
3,29,485.6191923719655
3,37,193.42440383777844
3,38,205.87860500790265
3,56,194.80503073586164
3,61,275.72631357924473
3,68,64.35060217278468
4,12,147.57371039585607
4,26,170.03823099526764
4,48,50.00999900019995
4,71,42.720018726587654
5,11,267.34621747838514
5,28,81.93289937503738
5,36,208.8276801575883
5,37,262.4137953690697
5,39,196.02550854416882
5,41,78.60025445251433
5,44,154.67385040788247
5,45,266.45262243033
5,50,240.20824298928628
5,51,121.03718436910205
5,55,252.41434190631878
5,58,67.54257916307313
5,73,396.7379487772754
6,16,98.84331034521254
6,17,129.41792766073794
6,19,199.7298175035465
6,24,383.8814921300583
6,26,164.24676556937126
6,29,177.1016657177453
6,46,273.97992627198073
6,54,268.6037974415105
6,63,161.40012391568973
6,69,255.8124312851117
6,70,107.05606008068857
7,9,221.11083193728885
7,12,186.46179233290664
7,18,117.0341830406826
7,19,246.84002916869053
7,20,231.62469643800938
7,24,54.3415126767741
7,33,83.48652585896721
7,34,178.04493814764857
7,35,352.80022675729674
7,37,97.65244492586962
7,39,110.3675676999362
7,61,243.01851781294363
7,67,94.2443632266673
8,9,121.75795661885921
8,19,58.249463516842795
8,24,303.5951251255527
8,29,74.96665925596525
8,31,473.26102734114926
8,38,208.12496246245908
8,46,166.88319268278636
8,59,46.17358552246078
8,61,143.65583872575453
8,64,109.27488274987991
8,68,471.59410513703415
8,69,67.4166151627327
8,72,144.89996549343965
9,18,111.66467659918243
9,29,196.21671692289624
9,33,304.591529757477
9,34,44.384682042344295
9,35,419.3447269252351
9,38,86.53900854527974
9,61,33.52610922848042
9,67,132.9661611087573
9,68,349.9857139941572
10,21,342.14762895568924
10,56,138.19551367537227
10,62,91.35097153287424
10,64,561.2575166534521
11,12,214.3105223734943
11,36,474.911570716065
11,44,421.8364612026798
11,45,533.4013498295632
11,50,33.734255586866
11,73,664.0820732409511
12,24,133.27040181525678
12,26,314.57431554403803
12,33,157.3848785620779
12,43,408.0
13,20,424.3017793976358
13,23,368.30693721405794
13,25,227.16733920174352
13,27,65.85590330410783
13,30,146.72763884149435
13,44,207.53072061745462
13,60,155.24174696260025
14,15,105.00476179678711
14,27,199.44924166313595
14,30,158.70097668256489
14,32,96.82974749528164
14,60,175.28548142958104
14,66,47.01063709417264
14,74,94.62557793746889
15,20,517.0889672000361
15,27,95.80187889597991
15,30,106.92053123698928
15,36,251.83526361492744
15,60,104.38869670610895
15,66,92.13034245024816
15,74,90.97252332435328
16,24,477.0167711936342
16,43,188.04254837669055
16,46,358.11311062288684
16,54,362.17399133565624
16,63,63.56099432828282
16,70,32.7566787083184
17,18,213.39634486091836
17,19,74.94664769020693
17,29,70.61161377563892
17,64,139.71757226634023
17,67,272.2443755158222
17,72,73.00684899377592
18,19,142.42541907960108
18,31,312.5443968462721
18,33,198.79889335708083
18,34,67.35725647619564
18,39,216.39316070523117
18,41,330.0575707357733
18,46,63.00793600809346
18,54,126.82665335015349
18,58,353.8954647915116
18,61,139.83204210766573
18,67,59.43904440685432
18,72,284.0281676172277
19,39,354.25555747228583
19,59,101.01980003939822
19,64,154.17522498767434
19,67,200.0099997500125
19,69,123.69316876852982
19,72,142.1724305201258
20,23,792.4152951577853
20,25,651.41461451214
20,30,568.9507887330855
20,35,121.40016474453401
20,37,134.1118935814419
20,38,257.84685377176896
20,44,217.8003673091485
20,56,305.27692346458156
20,61,324.172793429677
21,56,203.9534260560484
21,64,219.14607000811125
21,69,166.41213898030395
22,65,46.22769732530488
23,25,141.2267680009707
23,27,373.89437011006197
23,30,224.34125790857107
23,36,537.776905417107
23,44,574.9513022856805
23,53,106.6770828247567
24,37,142.63590010933433
24,46,138.13037319865606
24,54,115.27792503337315
24,61,285.97377502141694
24,63,540.4118799582408
24,64,411.4328620808017
24,67,143.26548781894402
24,68,391.42943169874184
24,70,490.71580369904535
25,27,237.35627229968034
25,30,86.09297300012354
25,40,268.00186566514793
25,44,434.1727766684595
25,53,237.49736840647307
25,55,380.5693103759156
25,60,284.98596456667826
26,43,95.90099061010788
26,48,166.97305171793442
26,70,212.7580785775243
26,72,271.31162894354526
27,30,151.2679741386127
27,36,164.7573974060042
27,55,143.26548781894402
27,60,89.62700485902673
27,66,186.6815470259447
27,74,152.50573759698355
28,36,133.2066064427737
28,44,92.89241088485109
28,45,200.3696583817021
28,51,71.28113354878694
28,55,173.51080657987848
28,57,73.348483283569
29,38,282.177249260106
29,59,104.30723848324239
29,64,69.26037828369117
29,68,546.2023434589054
29,69,78.77182237323191
29,72,76.4198926981712
30,32,255.44079548889601
30,44,351.2064919673325
30,55,294.47750338523315
30,60,203.79646709401024
30,66,115.37764081484765
30,74,192.92485583770693
31,33,113.95174417269794
31,41,89.27485648266257
31,49,74.2024258363566
31,58,124.61942063739504
32,40,60.60528029800704
32,42,257.68973592287296
32,52,96.38464608017192
32,66,141.42842712835352
33,34,261.4000765110829
33,46,196.88829320200833
34,38,97.18538984847466
34,46,116.1077086157504
34,54,185.77943912069495
34,61,73.33484846919642
34,67,94.03190947758107
35,37,255.16269319788896
35,45,186.86893802876924
35,55,266.05638500137525
36,38,521.6598508606926
36,44,65.76473218982953
36,45,78.10249675906654
36,51,166.0873264279969
36,55,47.853944456021594
36,57,204.83163818121457
36,66,343.5476677260377
37,38,202.71408436514716
37,39,71.58910531638176
37,41,185.39956850003725
37,56,334.40095693642985
37,57,321.02959365142647
38,39,272.72330300141203
38,41,388.10565571761515
38,56,194.5379140424817
38,61,70.00714249274856
38,68,264.5694615786183
39,41,117.5925167687128
39,56,403.1240503864784
39,58,137.7679207943562
40,42,318.29074758779905
40,52,156.70673246545599
41,49,162.68988905276197
41,51,196.17339269126177
41,58,36.76955262170047
42,47,65.52098900352466
42,52,162.73291000900832
43,48,262.6194966105906
43,70,161.37224048763778
44,45,111.8257573191436
44,50,394.8670662387533
44,51,149.96666296213968
44,55,113.6001760562016
44,57,165.41160781517118
44,73,242.62110378118388
45,50,506.66063592902105
45,51,242.6375898330677
45,57,273.70056631289606
45,73,133.00375934536586
46,49,312.80025575437116
46,54,70.00714249274856
46,61,188.2153022471871
46,67,114.54693361238441
46,69,233.20591759215716
46,70,376.82091237085024
48,71,88.76936408468859
49,58,196.82479518597245
49,69,545.9496313763752
50,73,636.4157446198201
51,57,72.3394774656273
54,61,258.1937257177254
54,63,425.6594883237069
54,70,375.4530596492723
56,64,423.0650068251923
56,69,369.77019890737546
57,58,123.60016181219181
59,64,109.45775440780794
59,69,51.66236541235796
59,72,180.0
60,66,184.85940603604675
60,74,93.17188417113823
61,72,288.4874347350331
64,69,59.07622195096772
64,72,123.08127396155761
66,74,122.2620137246234
67,72,342.11840055746785
69,72,153.22206107476822
